"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"1";"les grands axes sans couloirs de bus, les carrefours et rond point surtout si on ne suit pas le flux des voitures (pour tourner à gauche par exemple)";NA
"2";NA;"Tant que la prefecture de police ne fait rien pour faire respecter les pistes/bandes cyclable et les sas vélo la creation d'infrastructure aura une utilité limitée."
"3";"Les voies de bus partagées avec taxis / VTC, et deux-roues motorisées qui s'y invitent.";NA
"4";"Sur mon trajet, l'avenue des ternes est dangereuse à vélo car non-équipée, et les itinéraires alternatifs dans cette partie du 17e arrondissement sont difficile à trouver.
Plus généralement, les portes de Paris et les boulevards périphériques extérieurs pour relier ces portes ne sont pas adaptées à la circulation des cyclistes.";"Paris a fait beaucoup d'efforts en faveur du vélo en 2017 et les services de la mairie sont globalement à l'écoute des associations d'usagers. Néanmoins, créer une piste cyclable sans se préoccuper des interconnexions est contreproductif, et c'est malheureusement ainsi que choisit de fonctionner Paris : 300m par ci, par là. Le stationnement fait cruellement défaut également, et l'impunité des véhicules motorisés qui empruntent ou stationnent sur les itinéraires cyclables est un vrai problème local."
"5";"Toute la rue de Bagnolet est très longue, parfois étroite et très fréquentée (voitures bus scooters piétons). Je pars de Porte de Bagnolet et je ne me sens à l'aise qu'une fois arrivée à  Alexandre Dumas / Charonne.";"Il y a quand même des rues où c'est super (vers Voltaire / Charonne) mais parfois il n'y a aucun aménagement et ça devient dangereux. C'est tout ou rien."
"6";"Grands. Ou le Arès et autres grandes artères sans piste cyclable (vélos pas séparés de la chaussée dans voies dédiées)";NA
"7";"Tous les axes où les vélos doivent circuler dans les voix pour bus.";"Manque de verbalisation pour non respect des sas vélo ou de la distance de sécurité. Manque aussi de verbalisation des vélos lorsqu'ils ne respectent pas les feux à une intersection dangereuse."
"8";"contresens anarchiques (voir celui de la rue Gutembreg qui s'arrête sans raison rue de la Convention...)";"des efforts, mais en pointillés,; intégrez des vrais cyclistes aux équipes qui dessinent les ""pistes""."
"9";"place de la bastille, les piste cyclables non entretenues (bris de verres, terre plein de séparation franchis par les voitures ou brisés).
Un manque de continuité et de cohérence des pistes cyclables est également problématique";NA
"10";NA;"Le sujet majeur au quotidien (malheureusement pas abordé directement dans l'enquête) : le respect des bandes vélo par les 2 roues motorisés, qui bien souvent vous frôlent et/ou vous empêchent d'avancer (à un feu par exemple)"
"11";"les voies de bus partagées avec les taxis sans possibilitée pour eux de s'écarter en dépassant. (boulevard de Sebastopol par exemple)";NA
"12";"Carrefours, concorde, portes, grands axes";"Beaucoup d'initiatives intéressantes, dommage que la verbalisation des motorisés soit inexistante : vélos peu respectés"
"13";"Boulevard Magenta
Place de la Chapelle
Place Stalingrad
";"Rendre obligatoire l'éclairage pour les cyclistes la nuit (trop roulent sans)
Renforcer les arceaux de stationnement (trop facile à couper)
Mettre à disposition des cyclistes des pompes à vélo fixes
Faire en sorte qu'il n'y ait pas continuellement des bris de verre sur les pistes cyclables.
Eviter les contre-sens cyclables dans les rues trop étroites (bas de la partie 18ème de la rue Philippe de Girard + rue perdonnet par exemple)"
"14";"En ce qui concerne mon itinéraire c'est la Place Denfert Rochereau";NA
"15";"La piste cyclable dans le sens descendant entre Colonel Fabien et Le Père Lachaise";NA
"16";"Toute grande place / rond-point (Concorde, Bastille, place de Clichy, etc.) + les grands boulevards";"Des améliorations des infrastructures sont en cours mais inférieures aux besoins"
"17";"les quais de Seine";"Aucun respect de la part des véhicules motorisés concernant les usagers des voitures. Cela est dangereux et très loin du modèle danois."
"18";"Les rues sans pistes cyclables et très passagères où l'on est pris en sandwich entre les bus. Exemple : rue Ordener, rue Ledru-Rollin. D'autre part, les pistes cyclables mal conçues. Exemple : la piste qui est interrompue au bout de quelques mètres au niveau d'une école (77 bd de Belleville) : c'est dur de revenir dans la chaussée principale car les automobilistes ne s'arrêtent pas, il eût été plus malin de commencer cette piste cyclable APRES l'école. Ou les pistes cyclables qui changent de côté de la route après un carrefour, ultra dangereux et stupide. Ex : carrefour boulevard Richard Lenoir et rue du Faubourg du temple.";"Les automobilistes semblent s'adapter quand même à l'augmentation du nombre de cyclistes, les aménagements augmentent, ça va dans le bon sens. Sinon problème des propriétaires ou concierges qui ne veulent pas de vélos dans les immeubles : ce n'est plus possible, et c'est absurde."
"19";NA;"Il faut sensibiliser le grand public  et rendre l'espace public à tous les usagers (piétons, cyclistes et automobilistes). Le partage et la courtoisie devraient être de rigueur."
"20";"Grands boulevards entre République et Opéra, qui n'ont pas encore de séparation, grands axes comme le boulevard Sébastopol par exemple.";NA
"21";"place étoile";"Il faut arrêter de faire des pistes cyclables sur les trottoirs, cela n'a pas de sens (augmentation des conflits avec les piétons, les voitures ne nous voient pas et c'est inconfortable pour le cycliste). Le gros travail à Paris repose sur la création d'autoroutes cyclables qui aient la priorité, soient visibles et se distinguent des pistes cyclables habituelles. Travailler sur les franges de Paris et sa couronne en matière d'aménagement."
"22";"Le 18 ème. BD barbes et magenta.  Piste cyclable sur trottoir et voie de bus interdite au vélo ce qui en engendre de nombreuses incompréhensions avec automobilistes quand la piste cyclable est inpraticable (fréquent)";"En voie de développement"
"23";"Tronçon Place d'Italie Gobelins inclus";NA
"24";"En fin de journée à la sortie des bureaux";"Il faut que les cyclistes soient plus respectueux des piétons."
"25";"Les grandes places (Bastille, Concorde, Etoile, Opéra ....";"Bien amélioré depuis quelques années"
"26";"au milieu du Bois de Vincennes : avenue de St Maurice";"trop de bandes cyclables sont interrompues et disparaissent tous les 100 mètres. trop de pistes cyclables séparées des véhicules motorisés sont conçues pour des ""promenades"" à 10/15 km/h (piétons partout, coupures permanentes), très peu pour des vrais déplacements à vitesse soutenue 25/35 km/h"
