"";"value";"lower";"count"
"1";"place de la Bastille";"place de la bastille";356
"2";"place de la Concorde";"place de la concorde";280
"3";"rue de Rivoli";"rue de rivoli";142
"4";"place d'Italie";"place d'italie";67
"5";"pont d'Austerlitz";"pont d'austerlitz";59
"6";"place de Clichy";"place de clichy";58
"7";"boulevard Voltaire";"boulevard voltaire";38
"8";"avenue du Général Leclerc";"avenue du général leclerc";33
"9";"place de la République";"place de la république";33
"10";"boulevard Barbès";"boulevard barbès";29
"11";"avenue de la République";"avenue de la république";27
"12";"rue de Tolbiac";"rue de tolbiac";27
"13";"boulevard Saint Germain";"boulevard saint germain";26
"14";"place de la Nation";"place de la nation";25
"15";"boulevard de l'Hôpital";"boulevard de l'hôpital";23
"16";"boulevard Richard Lenoir";"boulevard richard lenoir";21
"17";"place Denfert Rochereau";"place denfert rochereau";20
"18";"avenue de Flandre";"avenue de flandre";19
"19";"boulevard de Magenta";"boulevard de magenta";19
"20";"boulevard Malesherbes";"boulevard malesherbes";19
"21";"quai de la Rapée";"quai de la rapée";19
"22";"boulevard de Belleville";"boulevard de belleville";18
"23";"rue de Vaugirard";"rue de vaugirard";18
"24";"avenue de Clichy";"avenue de clichy";17
"25";"rue de la Convention";"rue de la convention";16
"26";"boulevard Saint Michel";"boulevard saint michel";15
"27";"rue des Pyrénées";"rue des pyrénées";14
"28";"rue Réaumur";"rue réaumur";14
"29";"rue Riquet";"rue riquet";14
"30";"rue de Rome";"rue de rome";14
"31";"boulevard de la Villette";"boulevard de la villette";14
"32";"avenue d'Italie";"avenue d'italie";13
"33";"rue La Fayette";"rue la fayette";13
"34";"avenue du Maine";"avenue du maine";13
"35";"avenue de l'Opéra";"avenue de l'opéra";13
"36";"rue de la Chapelle";"rue de la chapelle";12
"37";"place Charles De Gaulle";"place charles de gaulle";12
"38";"rue Froidevaux";"rue froidevaux";12
"39";"boulevard Haussmann";"boulevard haussmann";12
"40";"rue Marx Dormoy";"rue marx dormoy";12
"41";"place de l'Opéra";"place de l'opéra";12
"42";"rue d'Alésia";"rue d'alésia";11
