"";"value";"n"
"1";NA;2213
"2";"pistes";1562
"3";"cyclables";1497
"4";"cyclistes";1139
"5";"vélos";1106
"6";"paris";1017
"7";"voitures";735
"8";"piétons";695
"9";"faire";659
"10";"motorisés";558
"11";"dangereux";542
"12";"véhicules";529
"13";"voies";505
"14";"route";470
"15";"beaucoup";426
"16";"automobilistes";418
"17";"cyclable";388
"18";"ville";385
"19";"circulation";381
"20";"souvent";370
"21";"piste";364
"22";"comme";337
"23";"respect";331
"24";"aussi";328
"25";"autres";320
"26";"stationnement";317
"27";"roues";311
"28";"usagers";311
"29";"scooters";295
"30";"sécurité";286
"31";"voiture";273
"32";"encore";260
"33";"cycliste";255
"34";"faudrait";250
"35";"place";249
"36";"entre";231
"37";"danger";230
"38";"moins";226
"39";"quand";218
"40";"problème";209
"41";"pollution";204
"42";"taxis";201
"43";"contre";200
"44";"trottoirs";200
"45";"assez";199
"46";"usage";199
"47";"manque";196
"48";"efforts";185
"49";"respectent";181
"50";"respecter";177
"51";"exemple";176
"52";"surtout";174
"53";"mieux";173
"54";"serait";167
"55";"motos";166
"56";"toujours";163
"57";"reste";159
"58";"depuis";158
"59";"parfois";158
"60";"mairie";155
"61";"certains";152
"62";"pratique";150
"63";"conducteurs";142
"64";"avoir";141
"65";"droite";140
"66";"rouler";140
"67";"prendre";137
"68";"transport";134
"69";"vraiment";134
"70";"mettre";133
"71";"vitesse";132
"72";"communication";131
"73";"trottoir";130
"74";"notamment";128
"75";"temps";126
"76";"espace";121
"77";"alors";120
"78";"nombre";120
"79";"nombreux";120
"80";"situation";119
"81";"autre";117
"82";"elles";113
"83";"jamais";113
"84";"rouge";113
"85";"bandes";109
"86";"bonne";109
"87";"réseau";106
"88";"travail";106
"89";"aménagements";105
"90";"vélib";105
"91";"chaussée";103
"92";"transports";103
"93";"double";102
"94";"politique";102
"95";"dangereuses";101
"96";"cette";100
"97";"circuler";100
"98";"comportement";100
"99";"police";100
"100";"sensibiliser";100
"101";"verbaliser";100
"102";"doivent";98
"103";"pense";98
"104";"merci";97
"105";"attention";96
"106";"itinéraires";95
"107";"moyen";95
"108";"grands";94
"109";"scooter";94
"110";"couloirs";93
"111";"espaces";93
"112";"rouges";93
"113";"également";92
"114";"trafic";92
"115";"avant";91
"116";"trouve";91
"117";"années";90
"118";"difficile";89
"119";"devraient";88
"120";"priorité";87
"121";"parking";86
"122";"soient";85
"123";"améliorer";84
"124";"places";84
"125";"stationnements";84
"126";"utilisation";83
"127";"devrait";82
"128";"passer";81
"129";"personnes";81
"130";"semble";81
"131";"séparées";81
"132";"général";80
"133";"grand";80
"134";"règles";80
"135";"limiter";79
"136";"roulent";79
"137";"aller";78
"138";"progrès";78
"139";"quelques";78
"140";"dangereuse";77
"141";"carrefours";75
