"";"value";"n"
"1";"place";1342
"2";"grands";1061
"3";"pistes";953
"4";"boulevard";942
"5";"cyclables";900
"6";"bastille";894
"7";"piste";847
"8";"cyclable";785
"9";"voitures";628
"10";"concorde";585
"11";"vélos";542
"12";"paris";528
"13";"boulevards";455
"14";"piétons";449
"15";"porte";445
"16";"voies";432
"17";"saint";402
"18";"magenta";400
"19";"places";373
"20";"entre";363
"21";"avenue";362
"22";"dangereux";357
"23";"carrefours";345
"24";"grandes";326
"25";NA;312
"26";"cyclistes";276
"27";"points";275
"28";"circulation";270
"29";"véhicules";263
"30";"champs";254
"31";"exemple";228
"32";"point";228
"33";"droite";216
"34";"comme";215
"35";"carrefour";212
"36";"trottoir";206
"37";"rivoli";197
"38";"ronds";195
"39";"général";185
"40";"souvent";179
"41";"trottoirs";175
"42";"etoile";174
"43";"taxis";174
"44";"gauche";173
"45";"république";173
"46";"route";172
"47";"motorisés";166
"48";"stationnement";165
"49";"étoile";160
"50";"portes";153
"51";"contre";150
"52";"maréchaux";147
"53";"italie";143
"54";"toutes";142
"55";"unique";141
"56";"elysées";140
"57";"quand";140
"58";"clichy";139
"59";"beaucoup";138
"60";"chaussée";127
"61";"scooters";125
"62";"double";123
"63";"austerlitz";122
"64";"quais";122
"65";"nation";121
"66";"ville";119
"67";"automobilistes";117
"68";"faire";117
"69";"toujours";117
"70";"seine";116
"71";"aussi";115
"72";"voiture";113
"73";"chapelle";112
"74";"denfert";112
"75";"partout";112
"76";"autres";110
"77";"couloirs";107
"78";"passage";107
"79";"opéra";105
"80";"roues";104
"81";"barbès";103
"82";"traverser";103
"83";"dangereuses";102
"84";"centre";101
"85";"assez";96
"86";"germain";96
"87";"traversée";94
"88";"étroites";93
"89";"ouest";93
"90";"cycliste";92
"91";"rochereau";90
"92";"dangereuse";89
"93";"michel";89
"94";"périphérique";89
"95";"générale";88
"96";"belleville";87
"97";"danger";87
"98";"autre";86
"99";"pavés";86
"100";"surtout";84
"101";"endroits";83
"102";"aller";82
"103";"avenues";82
"104";"montparnasse";82
"105";"faubourg";81
"106";"lafayette";80
"107";"notamment";80
"108";"barbes";79
"109";"partagées";79
"110";"passer";79
"111";"arrondissement";78
"112";"maillot";77
"113";"manque";76
"114";"tourner";76
"115";"problème";75
"116";"rouler";75
"117";"sécurité";75
"118";"motos";74
"119";"itinéraire";73
"120";"difficile";72
"121";"montreuil";72
"122";"circuler";71
"123";"lazare";71
"124";"martin";71
"125";"lorsque";69
"126";"manière";68
"127";"séparées";68
"128";"couloir";67
"129";"croisement";67
"130";"respect";67
"131";"travaux";66
"132";"alors";65
"133";"endroit";65
"134";"impossible";65
"135";"roulent";65
"136";"attention";63
"137";"respectent";63
