"";"value";"n"
"1";"place de la bastille";347
"2";NA;312
"3";"place de la concorde";279
"4";"boulevard magenta";223
"5";"rue de rivoli";140
"6";"place de l'étoile";75
"7";"place d'italie";67
"8";"porte maillot";66
"9";"rue lafayette";63
"10";"place de clichy";58
"11";"porte d'orléans";52
"12";"place denfert";44
"13";"place de l'etoile";43
"14";"porte de montreuil";42
"15";"boulevard voltaire";37
"16";"avenue du général leclerc";33
"17";"place de la république";33
"18";"boulevard barbès";29
"19";"porte de la chapelle";28
"20";"avenue de la république";27
"21";"rue de tolbiac";27
"22";"boulevard saint germain";26
"23";"boulevard richard";25
"24";"place de la nation";25
"25";"porte de clignancourt";25
"26";"boulevard de l'hôpital";23
"27";"boulevard des maréchaux";23
"28";"place pour";23
"29";"porte d'italie";23
"30";"boulevard barbes";21
"31";"boulevard sébastopol";21
"32";"boulevard de magenta";19
"33";"boulevard malesherbes";19
"34";"avenue des champs";18
"35";"boulevard de belleville";18
"36";"rue de vaugirard";18
"37";"avenue de clichy";17
"38";"boulevard saint-germain";16
"39";"route et";16
"40";"rue de la convention";16
"41";"boulevard saint michel";15
"42";"boulevard sebastopol";15
"43";"place de l";15
"44";"porte dauphine";15
"45";"boulevard de la villette";14
"46";"porte de clichy";14
"47";"rue à";14
"48";"rue de rome";14
"49";"rue des pyrénées";14
"50";"rue réaumur";14
"51";"rue riquet";14
"52";"avenue d'italie";13
"53";"avenue de l'opéra";13
"54";"avenue du maine";13
"55";"avenue de la grande";12
"56";"avenue ledru";12
"57";"boulevard haussmann";12
"58";"place charles";12
"59";"place de l'opéra";12
"60";"rue froidevaux";12
"61";"rue marx";12
"62";"avenue de flandre";11
"63";"avenue des ternes";11
"64";"avenue gambetta";11
"65";"boulevard de clichy";11
"66";"boulevard de strasbourg";11
"67";"porte comment";11
"68";"porte de bagnolet";11
"69";"rue d'alésia";11
"70";"rue d'amsterdam";11
"71";"rue de belleville";11
"72";"rue de la chapelle";11
"73";"rue du faubourg du";11
"74";"rue ordener";11
"75";"boulevard de l'hopital";10
"76";"boulevard diderot";10
"77";"place clichy";10
"78";"porte de la villette";10
"79";"porte de vincennes";10
"80";"route pour";10
"81";"rue de rennes";10
"82";"rue des petites";10
"83";"rue richer";10
"84";"avenue daumesnil";9
"85";"boulevard beaumarchais";9
"86";"boulevard de la chapelle";9
"87";"boulevard saint-michel";9
"88";"boulevard saint martin";9
"89";"boulevard st germain";9
"90";"place bastille";9
"91";"place stalingrad";9
"92";"porte de pantin";9
"93";"porte quoi";9
"94";"rue d'alesia";9
"95";"rue du faubourg saint martin";9
"96";"rue du renard";9
"97";"rue tolbiac";9
"98";"avenue de flandres";8
"99";"avenue jean";8
"100";"place d";8
"101";"place du";8
"102";"place du châtelet";8
"103";"porte d";8
"104";"porte d'aubervilliers";8
"105";"porte de versailles";8
"106";"rue d'avron";8
"107";"rue de crimée";8
"108";"avenue magenta";7
"109";"boulevard haussman";7
"110";"place de catalogne";7
"111";"place du colonel";7
"112";"porte où";7
"113";"rue de charenton";7
"114";"rue de clichy";7
"115";"rue du faubourg saint denis";7
"116";"rue la";7
"117";"rue la fayette";7
"118";"rue saint jacques";7
"119";"avenue de france";6
"120";"avenue foch";6
"121";"avenue général leclerc";6
"122";"avenue marceau";6
"123";"avenue parmentier";6
"124";"boulevard de charonne";6
"125";"boulevard de la bastille";6
"126";"boulevard de sébastopol";6
"127";"boulevard du montparnasse";6
"128";"boulevard raspail";6
"129";"place d'alésia";6
"130";"place de la madeleine";6
"131";"place de la porte";6
"132";"place du chatelet";6
"133";"place léon";6
"134";"place valhubert";6
"135";"porte de la";6
"136";"porte de vanves";6
"137";"porte des lilas";6
"138";"rue de charonne";6
"139";"rue de la cité";6
"140";"rue de la roquette";6
"141";"rue du chemin";6
"142";"rue oberkampf";6
"143";"rue rivoli";6
"144";"rue royale";6
"145";"rue saint lazare";6
"146";"avenue de la porte";5
"147";"avenue des gobelins";5
"148";"boulevard et";5
"149";"boulevard rochechouart";5
"150";"boulevard saint-marcel";5
"151";"boulevard saint marcel";5
"152";"place concorde";5
"153";"porte d'ivry";5
"154";"route à";5
"155";"route aux";5
"156";"route avec";5
"157";"route car";5
"158";"route en";5
"159";"route par";5
"160";"rue de bercy";5
"161";"rue de la coutellerie";5
"162";"rue de montreuil";5
"163";"rue de turbigo";5
"164";"rue du château";5
"165";"rue du faubourg saint-antoine";5
"166";"rue du faubourg saint antoine";5
"167";"rue du faubourg st antoine";5
"168";"rue du fbg";5
"169";"rue lecourbe";5
"170";"rue saint-jacques";5
"171";"rue saint denis";5
"172";"rue saint martin";5
"173";"rue turbigo";5
"174";"boulevard brune";4
"175";"boulevard de l";4
"176";"boulevard de la madeleine";4
"177";"boulevard de ménilmontant";4
"178";"boulevard des capucines";4
"179";"boulevard jules";4
"180";"boulevard montparnasse";4
"181";"boulevard ornano";4
"182";"boulevard périphérique";4
"183";"boulevard poissonnière";4
"184";"boulevard sebastopole";4
"185";"place de";4
"186";"place de la chapelle";4
"187";"place des ternes";4
"188";"place du maréchal";4
"189";"place en";4
"190";"place victor";4
"191";"place voltaire";4
"192";"porte de gentilly";4
"193";"route est";4
"194";"rue beaubourg";4
"195";"rue buffon";4
"196";"rue de bagnolet";4
"197";"rue de bretagne";4
"198";"rue de lyon";4
"199";"rue de paris";4
"200";"rue de provence";4
"201";"rue de richelieu";4
"202";"rue de sèvres";4
"203";"rue du fg";4
"204";"rue du temple";4
"205";"rue en";4
"206";"rue est";4
"207";"rue legendre";4
"208";"rue saint honoré";4
"209";"avenue de saint ouen";3
"210";"avenue de villiers";3
"211";"avenue de wagram";3
"212";"avenue philippe";3
"213";"boulevard belleville";3
"214";"boulevard bonne";3
"215";"boulevard bourdon";3
"216";"boulevard davout";3
"217";"boulevard de grenelle";3
"218";"boulevard de sebastopol";3
"219";"boulevard montmartre";3
"220";"boulevard pereire";3
"221";"boulevard poissonière";3
"222";"boulevard qui";3
"223";"boulevard st marcel";3
"224";"boulevard st michel";3
"225";"boulevard vincent";3
"226";"place à";3
"227";"place auguste";3
"228";"place aux";3
"229";"place colonel";3
"230";"place comme";3
"231";"place dauphine";3
"232";"place de bastille";3
"233";"place de l'alma";3
"234";"place de la bataille";3
"235";"place du trocadéro";3
"236";"place gambetta";3
"237";"place saint augustin";3
"238";"place vendôme";3
"239";"porte d'asnières";3
"240";"porte de châtillon";3
"241";"porte de choisy";3
"242";"porte de paris";3
"243";"porte de saint-ouen";3
"244";"porte dorée";3
"245";"route que";3
"246";"route qui";3
"247";"route urbaine";3
"248";"rue alain";3
"249";"rue caulaincourt";3
"250";"rue de chateaudun";3
"251";"rue de lagny";3
"252";"rue de maubeuge";3
"253";"rue de paradis";3
"254";"rue des amandiers";3
"255";"rue des grands";3
"256";"rue des martyrs";3
"257";"rue des orteaux";3
"258";"rue du chateau";3
"259";"rue du faubourg poissonnière";3
"260";"rue du faubourg saint-denis";3
"261";"rue du faubourg saint-martin";3
"262";"rue du faubourg saint honoré";3
"263";"rue fbg";3
"264";"rue jean";3
"265";"rue louis";3
"266";"rue maubeuge";3
"267";"rue max";3
"268";"rue ou";3
"269";"rue rené";3
"270";"rue saint-honoré";3
"271";"rue st jacques";3
"272";"rue vieille";3
"273";"avenue benoît";2
"274";"avenue charles";2
"275";"avenue de choisy";2
"276";"avenue de la republique";2
"277";"avenue de versailles";2
"278";"avenue du gal";2
"279";"avenue du maréchal";2
"280";"avenue du roule";2
"281";"avenue et";2
"282";"avenue hoche";2
"283";"avenue qui";2
"284";"avenue rené";2
"285";"avenue rivoli";2
"286";"avenue sans";2
"287";"avenue victoria";2
"288";"boulevard de bonne";2
"289";"boulevard de la";2
"290";"boulevard de la république";2
"291";"boulevard de port";2
"292";"boulevard de rochechouart";2
"293";"boulevard de vaugirard";2
"294";"boulevard de voltaire";2
"295";"boulevard des italiens";2
"296";"boulevard des marechaux";2
"297";"boulevard du palais";2
"298";"boulevard du temple";2
"299";"boulevard entre";2
"300";"boulevard est";2
"301";"boulevard extérieur";2
"302";"boulevard garibaldi";2
"303";"boulevard hausmann";2
"304";"boulevard hausseman";2
"305";"boulevard jourdan";2
"306";"boulevard lafayette";2
"307";"boulevard lefebvre";2
"308";"boulevard massena";2
"309";"boulevard ney";2
"310";"boulevard pasteur";2
"311";"boulevard poissonnières";2
"312";"boulevard saint-denis";2
"313";"boulevard saint-martin";2
"314";"boulevard saint denis";2
"315";"boulevard sans";2
"316";"boulevard st-michel";2
"317";"place basch";2
"318";"place de l'étoil";2
"319";"place de l'hôtel";2
"320";"place de la concord";2
"321";"place de la republique";2
"322";"place de parking";2
"323";"place de stalingrad";2
"324";"place denfer";2
"325";"place des vélos";2
"326";"place du caroussel";2
"327";"place du carrousel";2
"328";"place du même";2
"329";"place est";2
"330";"place iéna";2
"331";"place pereire";2
"332";"place st michel";2
"333";"place sur";2
"334";"porte clichy";2
"335";"porte d'asnieres";2
"336";"porte d'auteuil";2
"337";"porte de bercy";2
"338";"porte de la muette";2
"339";"porte de saint-cloud";2
"340";"porte de saint ouen";2
"341";"porte saint martin";2
"342";"route mais";2
"343";"route ou";2
"344";"route parce";2
"345";"rue alesia";2
"346";"rue amelot";2
"347";"rue auber";2
"348";"rue avec";2
"349";"rue claude";2
"350";"rue comme";2
"351";"rue d";2
"352";"rue d'aubervilliers";2
"353";"rue d'hauteville";2
"354";"rue de courcelles";2
"355";"rue de flandre";2
"356";"rue de flandres";2
"357";"rue de l'amiral";2
"358";"rue de la";2
"359";"rue de la fayette";2
"360";"rue de miromesnil";2
"361";"rue de sevres";2
"362";"rue de vouillé";2
"363";"rue des archives";2
"364";"rue des entrepreneurs";2
"365";"rue des saints";2
"366";"rue des vignoles";2
"367";"rue du";2
"368";"rue du bac";2
"369";"rue du commandant";2
"370";"rue du commerce";2
"371";"rue du faubourg st martin";2
"372";"rue du louvre";2
"373";"rue du pont";2
"374";"rue du quatre";2
"375";"rue et";2
"376";"rue fbrg";2
"377";"rue ledru";2
"378";"rue michel";2
"379";"rue monge";2
"380";"rue montmartre";2
"381";"rue nansouty";2
"382";"rue ne";2
"383";"rue où";2
"384";"rue par";2
"385";"rue pavées";2
"386";"rue proudhon";2
"387";"rue que";2
"388";"rue reaumur";2
"389";"rue saint antoine";2
"390";"rue sens";2
"391";"rue st antoine";2
"392";"rue st denis";2
"393";"rue st martin";2
"394";"rue st maur";2
"395";"rue taine";2
"396";"rue vaugirard";2
"397";"rue vercingetorix";2
"398";"rue vercingétorix";2
"399";"avenue andré";1
"400";"avenue clichy";1
"401";"avenue d'avron";1
